model,training_seed,noise_seed,saltpepper_probability,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
TinyMLP h5 (lambda12),17,1001,0.1,0.5687221041631866,21,4500,1500,1500,0.24066666666666667,0.20766550522648083,0.9933333333333333,0.3435158501440922,0.3367596046960352,298,1137,2,63,0.9290322580645162,0.585516407920424,0.36975664425232146
TinyMLP h5 (mu12),17,1001,0.1,0.48684885424745994,21,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
Schmidt-QPP QNN L2,17,2003,0.1,0.5373572475497486,25,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.2083250721419329,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
TinyMLP h5 (lambda12),17,2003,0.1,0.5687221041631866,21,4500,1500,1500,0.24333333333333335,0.20905923344947736,1.0,0.345821325648415,0.34352382170255913,300,1135,0,65,0.9290322580645162,0.5832109324161012,0.37223823246878
TinyMLP h5 (mu12),17,2003,0.1,0.48684885424745994,21,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.2083250721419329,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
Schmidt-QPP QNN L2,17,3001,0.1,0.5373572475497486,25,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
TinyMLP h5 (lambda12),17,3001,0.1,0.5687221041631866,21,4500,1500,1500,0.24666666666666667,0.2097902097902098,1.0,0.3468208092485549,0.3362313719137505,300,1130,0,70,0.9290322580645162,0.5822114488159613,0.37331406551059726
TinyMLP h5 (mu12),17,3001,0.1,0.48684885424745994,21,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
Schmidt-QPP QNN L2,17,1001,0.15,0.5373572475497486,25,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
TinyMLP h5 (lambda12),17,1001,0.15,0.5687221041631866,21,4500,1500,1500,0.20533333333333334,0.20107238605898123,1.0,0.3348214285714286,0.2392479011413831,300,1192,0,8,0.9290322580645162,0.5942108294930876,0.3603980654761905
TinyMLP h5 (mu12),17,1001,0.15,0.48684885424745994,21,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
Schmidt-QPP QNN L2,17,2003,0.15,0.5373572475497486,25,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
TinyMLP h5 (lambda12),17,2003,0.15,0.5687221041631866,21,4500,1500,1500,0.20533333333333334,0.20107238605898123,1.0,0.3348214285714286,0.2120008424169111,300,1192,0,8,0.9290322580645162,0.5942108294930876,0.3603980654761905
TinyMLP h5 (mu12),17,2003,0.15,0.48684885424745994,21,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
Schmidt-QPP QNN L2,17,3001,0.15,0.5373572475497486,25,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092182,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
TinyMLP h5 (lambda12),17,3001,0.15,0.5687221041631866,21,4500,1500,1500,0.20333333333333334,0.20066889632107024,1.0,0.3342618384401114,0.23382346738869889,300,1195,0,5,0.9290322580645162,0.5947704196244048,0.3597957288765088
TinyMLP h5 (mu12),17,3001,0.15,0.48684885424745994,21,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092176,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
